sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
FORRESTER COMPLEX,5,1,1,6,22,1961,1096,99,99,,,"""Bigg, 1985"""
SUGARLOAF,7,1,1,99,99,1965,3391,99,99,,,"""Calkins & Pitcher, 1982"""
SUGARLOAF,7,1,1,99,99,1967,5200,99,99,,,"""Calkins 1975, ? est Vania"""
SUGARLOAF,7,1,1,99,99,1968,3000,99,99,,,"""Calkins 1975, ? est"""
SUGARLOAF,7,1,1,99,99,1971,3500,99,99,,,"""Calkins & Pitcher, 1982 est"""
FORRESTER COMPLEX,5,1,1,7,3,1973,2371,99,99,,,"""2400 in Bigg, 1985"""
SUGARLOAF,7,1,1,99,99,1975,3500,99,99,,,"""Calkins & Pitcher, 1982 est"""
SUGARLOAF,7,1,1,99,99,1976,3500,99,99,,,"""Calkins & Pitcher, 1982 est"""
SEAL ROCKS,6,1,1,99,27,1976,316,99,2,,,"""branded 316 Calkins & Pitcher, 1982"", min 85 dead"
OUTER (PYE),7,0,1,6,24,1976,500,99,99,,,"""Calkins & Pitcher, 1982 vis est from heli"""
ATKINS,8,1,1,6,26,1978,2750,99,99,,,"""Calkins et al, 1979 Annual Report"""
CHERNABURA,8,1,1,6,26,1978,486,99,99,,,"""Calkins et al, 1979 Annual Report"""
CHIRIKOF,7,1,1,6,30,1978,1573,99,99,,,"""Calkins et al, 1979 Annual Report"""
CHOWIET,7,1,1,6,29,1978,4670,99,99,,,"""Calkins et al, 1979 Annual Report"""
CLUBBING ROCKS,8,1,1,6,28,1978,725,99,99,,,"""Calkins et al, 1979 Annual Report (est from heli)"""
LIGHTHOUSE ROCKS,8,0,1,6,29,1978,250,99,99,,,"""Calkins et al, 1979 Annual Report (est from heli)"""
OUTER (PYE),7,0,1,6,21,1978,431,99,99,,,"""Calkins et al, 1979 Annual Report (est from boat)"""
PINNACLE ROCK,8,1,1,6,29,1978,615,99,99,,,"""Calkins et al, 1979 Annual Report (est from heli)"""
SOUTH ROCKS,8,0,1,6,27,1978,30,99,99,,,"""Calkins et al, 1979 Annual Report"""
