"","year","sitename","meanPups"
"1",1961,"Forrester Complex",1096
"2",1965,"Sugarloaf",3391
"3",1967,"Sugarloaf",5200
"4",1968,"Sugarloaf",3000
"5",1971,"Sugarloaf",3500
"6",1973,"Forrester Complex",2371
"7",1975,"Sugarloaf",3500
"8",1976,"Sugarloaf",3500
"9",1976,"Seal Rocks",316
"10",1976,"Outer (Pye)",500
"11",1978,"Atkins",2750
"12",1978,"Chernabura",486
"13",1978,"Chirikof",1573
"14",1978,"Chowiet",4670
"15",1978,"Clubbing Rocks",725
"16",1978,"Lighthouse Rocks",250
"17",1978,"Outer (Pye)",431
"18",1978,"Pinnacle Rock",615
"19",1978,"South Rocks",30
"20",1978,"Seal Rocks",545
"21",1978,"Marmot",6140
"22",1978,"Sugarloaf",5021
"23",1979,"Atkins",4538
"24",1979,"Chernabura",646
"25",1979,"Chirikof",1649
"26",1979,"Chowiet",5485
"27",1979,"Clubbing Rocks",1419
"28",1979,"Forrester Complex",2187
"29",1979,"Hazy",31
"30",1979,"Lighthouse Rocks",112
"31",1979,"Sugarloaf",5123
"32",1979,"Seal Rocks",491
"33",1979,"Outer (Pye)",888
"34",1979,"Pinnacle Rock",2748
"35",1979,"Attu",642
"36",1979,"Buldir",1142
"37",1979,"Marmot",6741
"38",1982,"Forrester Complex",2120
"39",1984,"Atkins",2093
"40",1984,"Chernabura",200
"41",1984,"Chirikof",1913
"42",1984,"Chowiet",3207
"43",1984,"Clubbing Rocks",1394
"44",1984,"Forrester Complex",2568
"45",1984,"Pinnacle Rock",2013
"46",1984,"Sugarloaf",3114
"47",1984,"Seal Rocks",799
"48",1984,"Marmot",5751
"49",1985,"Adugak",844
"50",1985,"Akun/Billings Head",60
"51",1985,"Akutan/Cape Morgan",1130
"52",1985,"Seguam/Saddleridge",2635
"53",1985,"Yunaska",1026
"54",1985,"Ayugadak",329
"55",1985,"Bogoslof/Fire Island",1109
"56",1985,"Gramp Rock",909
"57",1985,"Kasatochi/North Point",892
"58",1985,"Kiska/Lief Cove",882
"59",1985,"Ogchul",172
"60",1985,"Tag",703
"61",1985,"Ulak/Hasgox Point",1236
"62",1986,"Atkins",1072
"63",1986,"Chirikof",1476
"64",1986,"Forrester Complex",1954
"65",1986,"Outer (Pye)",933
"66",1986,"Sugarloaf",3077
"67",1986,"Chernabura",379
"68",1986,"Chowiet",1731
"69",1986,"Marmot",4381
"70",1987,"Marmot",2910
"71",1988,"Agattu",1218
"72",1988,"Buldir",460
"73",1988,"Forrester Complex",2202
"74",1988,"Kiska/Cape St Stephen",300
"75",1988,"Marmot",3136
"76",1989,"Chirikof",709
"77",1989,"Chowiet",820
"78",1989,"Forrester Complex",2844
"79",1989,"Marmot",2199
"80",1989,"Sugarloaf",2109
"81",1989,"Agattu",907
"82",1989,"Buldir",494
"83",1989,"Hazy",349
"84",1989,"Outer (Pye)",557
"85",1989,"Seal Rocks",553
"86",1994,"Walrus",61
"87",1973,"Bogoslof/Fire Island",2328
"88",1979,"Seguam/Saddleridge",2475
"89",1979,"Yunaska",752
"90",1981,"Walrus",292
"91",1982,"Walrus",334
"92",1985,"Ugamak Complex",1635
"93",1987,"Walrus",114
"94",1989,"Bogoslof/Fire Island",358
"95",1989,"Kiska/Cape St Stephen",258
"96",1989,"Kiska/Lief Cove",293
"97",1989,"Seguam/Saddleridge",529
"98",1990,"Atkins",433
"99",1990,"Chernabura",197
"100",1990,"Chirikof",607
"101",1990,"Outer (Pye)",363
"102",1990,"Sugarloaf",1638
"103",1990,"Ugamak Complex",847
"104",1990,"Hazy",638
"105",1990,"Adugak",262
"106",1990,"Akun/Billings Head",63
"107",1990,"Amchitka/Column Rock",148
"108",1990,"Amlia/Sviech. Harbor",26
"109",1990,"Ayugadak",163
"110",1990,"Bogoslof/Fire Island",461
"111",1990,"Forrester Complex",2932
"112",1990,"Gramp Rock",448
"113",1990,"Kiska/Cape St Stephen",212
"114",1990,"Kiska/Lief Cove",221
"115",1990,"Seal Rocks",571
"116",1990,"Seguam/Saddleridge",684
"117",1990,"Tag",357
"118",1990,"Ulak/Hasgox Point",790
"119",1990,"White Sisters",30
"120",1990,"Yunaska",230
"121",1991,"Bogoslof/Fire Island",501
"122",1991,"Chirikof",656
"123",1991,"Outer (Pye)",180
"124",1991,"Seal Rocks",657
"125",1991,"Akun/Billings Head",64
"126",1991,"Atkins",485
"127",1991,"Marmot",1611
"128",1991,"Pinnacle Rock",794
"129",1991,"Ugamak Complex",813
"130",1991,"Forrester Complex",3261
"131",1991,"Hazy",808
"132",1991,"White Sisters",95
"133",1991,"Walrus",63
"134",1992,"White Sisters",116
"135",1992,"Akutan/Cape Morgan",558
"136",1992,"Chernabura",211
"137",1992,"Chowiet",636
"138",1992,"Clubbing Rocks",433
"139",1992,"Sugarloaf",1000
"140",1993,"Bogoslof/Fire Island",322
"141",1993,"Akun/Billings Head",51
"142",1993,"Atkins",419
"143",1993,"Chirikof",344
"144",1993,"Marmot",986
"145",1993,"Pinnacle Rock",773
"146",1993,"Ugamak Complex",711
"147",1993,"Hazy",759
"148",1993,"Outer (Pye)",181
"149",1993,"Seal Rocks",566
"150",1993,"White Sisters",115
"151",1993,"Wooded (Fish)",514
"152",1994,"Adugak",180
"153",1994,"Akutan/Cape Morgan",631
"154",1994,"Marmot",804
"155",1994,"Ogchul",94
"156",1994,"Seguam/Saddleridge",444
"157",1994,"Yunaska",217
"158",1994,"Atkins",324
"159",1994,"Chernabura",139
"160",1994,"Chirikof",325
"161",1994,"Chowiet",625
"162",1994,"Forrester Complex",2757
"163",1994,"Sugarloaf",958
"164",1994,"Adak",327
"165",1994,"Akun/Billings Head",69
"166",1994,"Amchitka/Column Rock",114
"167",1994,"Ayugadak",142
"168",1994,"Gramp Rock",425
"169",1994,"Kasatochi/North Point",215
"170",1994,"Kiska/Cape St Stephen",120
"171",1994,"Kiska/Lief Cove",233
"172",1994,"Tag",234
"173",1994,"Ugamak Complex",574
"174",1994,"Ulak/Hasgox Point",638
"175",1994,"Clubbing Rocks",547
"176",1994,"Hazy",862
"177",1994,"Outer (Pye)",119
"178",1994,"Pinnacle Rock",652
"179",1994,"Seal Rocks",598
"180",1994,"White Sisters",151
"181",1994,"Wooded (Fish)",305
"182",1995,"Bogoslof/Fire Island",282
"183",1995,"Forrester Complex",2869
"184",1996,"Ugamak Complex",706
"185",1996,"Atkins",366
"186",1996,"Marmot",632
"187",1996,"Forrester Complex",2764
"188",1996,"Hazy",768
"189",1996,"Seal Rocks",352
"190",1996,"White Sisters",182
"191",1996,"Wooded (Fish)",232
"192",1997,"Agattu/Cape Sabak",379
"193",1997,"Agattu/Gillon Point",258
"194",1997,"Attu/Cape Wrangell",222
"195",1997,"Buldir",120
"196",1997,"Yunaska",192
"197",1997,"Forrester Complex",2798
"198",1997,"Bogoslof/Fire Island",281
"199",1997,"Kasatochi/North Point",268
"200",1997,"Seguam/Saddleridge",463
"201",1997,"Ugamak Complex",589
"202",1997,"Hazy",1157
"203",1997,"White Sisters",205
"204",1998,"Adak",340
"205",1998,"Agattu/Cape Sabak",314
"206",1998,"Agattu/Gillon Point",213
"207",1998,"Amchitka/Column Rock",70
"208",1998,"Atkins",352
"209",1998,"Attu/Cape Wrangell",154
"210",1998,"Buldir",122
"211",1998,"Chernabura",54
"212",1998,"Chirikof",184
"213",1998,"Chowiet",234
"214",1998,"Clubbing Rocks",448
"215",1998,"Gramp Rock",456
"216",1998,"Kiska/Lief Cove",179
"217",1998,"Pinnacle Rock",639
"218",1998,"Tag",238
"219",1998,"Ulak/Hasgox Point",521
"220",1998,"Seal Rocks",542
"221",1998,"Adugak",135
"222",1998,"Akun/Billings Head",56
"223",1998,"Akutan/Cape Morgan",505
"224",1998,"Bogoslof/Fire Island",220
"225",1998,"Kasatochi/North Point",247
"226",1998,"Sea Lion Rock (Amak)",134
"227",1998,"Seguam/Saddleridge",479
"228",1998,"Ugamak Complex",558
"229",1998,"Yunaska",161
"230",1998,"Forrester Complex",2753
"231",1998,"Hazy",1199
"232",1998,"Marmot",642
"233",1998,"Outer (Pye)",113
"234",1998,"White Sisters",282
"235",1986,"Ugamak Complex",1386
"236",1997,"Marmot",760
"237",1997,"Sugarloaf",673
"238",1998,"Ayugadak",89
"239",1998,"Kiska/Cape St Stephen",54
"240",1998,"Wooded (Fish)",147
"241",1998,"Sugarloaf",703
"242",1979,"Bogoslof/Fire Island",914
"243",1985,"Adak",558
"244",1990,"Chowiet",343
"245",1990,"Adak",137
"246",1990,"Agligadak",0
"247",1990,"Akutan/Cape Morgan",442
"248",1990,"Kasatochi/North Point",178
"249",1994,"Amchitka/East Cape",6
"250",1998,"Amchitka/East Cape",9
"251",1998,"Amlia/Sviech. Harbor",13
"252",1998,"Ogchul",42
"253",1994,"Semisopochnoi/Petrel",10
"254",1994,"Semisopochnoi/Pochnoi",11
"255",1998,"Semisopochnoi/Petrel",0
"256",1998,"Semisopochnoi/Pochnoi",6
"257",1998,"Agligadak",0
"258",1997,"Outer (Pye)",106
"259",1997,"Wooded (Fish)",123
"260",1997,"Seal Rocks",487
"261",1990,"Agattu",1127
"262",1990,"Buldir",381
"263",1995,"Buldir",120
"264",1997,"Walrus",35
"265",1978,"Wooded (Fish)",29
"266",1979,"Adak/Lake Point",20
"267",1979,"Kasatochi/North Point",213
"268",1979,"Agattu",183
"269",1979,"Ayugadak",22
"270",1979,"Amchitka/Column Rock",135
"271",1979,"Kiska/Cape St Stephen",137
"272",1979,"Kiska/Lief Cove",476
"273",1979,"Semisopochnoi/Pochnoi",25
"274",1979,"Ulak/Hasgox Point",204
"275",1984,"Outer (Pye)",1034
"276",1989,"Ugamak Complex",434
"277",1989,"Walrus",250
"278",2000,"Yunaska",136
"279",2000,"Adugak",153
"280",2000,"Bogoslof/Fire Island",249
"281",2000,"Akun/Billings Head",41
"282",2000,"Ugamak/Round",15
"283",2000,"Pinnacle Rock",634
"284",2000,"The Whaleback",12
"285",2000,"Atkins",262
"286",2000,"Lighthouse Rocks",5
"287",2000,"Chirikof",187
"288",2000,"Outer (Pye)",108
"289",2000,"Wooded (Fish)",149
"290",2000,"Chiswell Islands",58
"291",2001,"Amchitka/East Cape",5
"292",2001,"Seguam/Saddleridge",468
"293",2001,"Seguam/Turf Point",24
"294",2001,"Ogchul",47
"295",2001,"Akutan/Cape Morgan",508
"296",2001,"Ugamak/North",298
"297",2001,"Ugamak/Ugamak Bay",256
"298",2001,"Ugamak/Round",16
"299",2001,"Clubbing Rocks North",152
"300",2001,"Clubbing Rocks South",338
"301",2001,"Chernabura",92
"302",2001,"Chowiet",278
"303",2001,"Sea Otter",3
"304",2001,"Sugarloaf",490
"305",2001,"Seal Rocks",500
"306",2001,"The Needle",6
"307",2001,"Point Elrington",3
"308",2002,"Adugak",160
"309",2002,"Yunaska",145
"310",2002,"Kasatochi/North Point",302
"311",2002,"Adak/Lake Point",363
"312",2002,"Gramp Rock",444
"313",2002,"Tag",153
"314",2002,"Ulak/Hasgox Point",331
"315",2002,"Ayugadak",90
"316",2002,"Kiska/Lief Cove",158
"317",2002,"Kiska/Cape St Stephen",71
"318",2002,"Buldir",42
"319",2002,"Agattu/Cape Sabak",212
"320",2002,"Seguam/Turf Point",23
"321",2002,"Adak/Cape Yakak",0
"322",2002,"Amchitka/East Cape",0
"323",2002,"Amchitka/Column Rock",52
"324",2002,"Attu/Cape Wrangell",75
"325",2002,"Agattu/Gillon Point",159
"326",2002,"Semisopochnoi",0
"327",2002,"Bogoslof/Fire Island",180
"328",2002,"Akun/Billings Head",55
"329",2002,"Amak+rocks",3
"330",2002,"Sea Lion Rock (Amak)",160
"331",2002,"Ugamak/Round",6
"332",2002,"Aiktak",10
"333",2002,"Pinnacle Rock",769
"334",2002,"Jude",119
"335",2002,"The Whaleback",16
"336",2002,"Atkins",224
"337",2002,"Lighthouse Rocks",7
"338",2002,"Chirikof",225
"339",2002,"The Haystacks",0
"340",2002,"Nagai Rocks",19
"341",2002,"Outer (Pye)",58
"342",2001,"Walrus",39
"343",2002,"Amlia/Sviech. Harbor",22
"344",2002,"Forrester/Sea Lion Rk",424
"345",2002,"Forrester/c Horn Rk",381
"346",2002,"Forrester/Lowrie",1086
"347",2002,"Forrester/North Rk",1030
"348",2002,"Forrester/East Rk",136
"349",2002,"Forrester Complex",0
"350",2002,"Cape Addington",6
"351",2002,"Hazy",1248
"352",2002,"Cape Ommaney",2
"353",2002,"Biali Rock",59
"354",2002,"Yasha",1
"355",2002,"White Sisters",403
"356",2002,"Graves Rock",99
"357",2003,"Unalaska/Bishop Point",2
"358",2003,"Ogchul",69
"359",2003,"Unalaska/Cape Izigan",20
"360",2003,"Akutan/Cape Morgan",497
"361",2003,"Ugamak/North",352
"362",2003,"Ugamak/Ugamak Bay",295
"363",2003,"Ugamak/Round",39
"364",2003,"Clubbing Rocks North",194
"365",2003,"Clubbing Rocks South",372
"366",2003,"Jude",61
"367",2003,"The Whaleback",22
"368",2003,"Chernabura",82
"369",2003,"Atkins",128
"370",2003,"Chowiet",368
"371",2003,"Twoheaded",20
"372",2003,"Latax Rocks",10
"373",2003,"Wooded (Fish)",173
"374",2003,"Seal Rocks",543
"375",2003,"The Needle",7
"376",2003,"Point Elrington",2
"377",2004,"Kasatochi/North Point",340
"378",2004,"Adak/Cape Yakak",7
"379",2004,"Amlia/Sviech. Harbor",29
"380",2004,"Agligadak",2
"381",2004,"Seguam/Saddleridge",512
"382",2004,"Yunaska",110
"383",2004,"Adugak",167
"384",2004,"Bogoslof/Fire Island",248
"385",2004,"Akun/Billings Head",85
"386",2004,"Sea Lion Rock (Amak)",181
"387",2004,"Ugamak/Round",30
"388",2004,"Aiktak",14
"389",2004,"Pinnacle Rock",560
"390",2004,"Jude",160
"391",2004,"Atkins",244
"392",2004,"Chirikof",189
"393",2004,"Nagai Rocks",22
"394",2004,"Outer (Pye)",63
"395",2004,"Sugarloaf",488
"396",2004,"West Rock",0
"397",2004,"Point Marsh",0
"398",2004,"Wolf Rock",0
"399",2004,"Cape Bartolome",0
"400",2004,"Cape Addington",1
"401",2004,"Timbered",0
"402",2004,"Coronation",0
"403",2004,"Hazy",1271
"404",2004,"Grindall",0
"405",2004,"Cape Ommaney",0
"406",2004,"Sea Lion Rock (Puffin Bay)",0
"407",2004,"Biali Rock",71
"408",2004,"Jacob Rock",1
"409",2004,"Kaiuchali (Biorka)",0
"410",2004,"Turnabout",0
"411",2004,"Sunset",0
"412",2004,"Sea Lion Islands",0
"413",2004,"White Sisters",488
"414",2004,"South Marble",0
"415",2004,"Gran (Ledge) Point",0
"416",2004,"Cape Fairweather",0
"417",2004,"Cape St. Elias",7
"418",2004,"Hook Point",0
"419",2004,"Cape Hinchinbrook",0
"420",2004,"Seal Rocks",573
"421",2004,"Wooded (Fish)",123
"422",2004,"Middleton",0
"423",2004,"Glacier",0
"424",2004,"The Needle",7
"425",2004,"Point Latouche",0
"426",2004,"Danger",0
"427",2004,"Point Elrington",2
"428",2004,"Procession Rocks",1
"429",2004,"Cape Puget",0
"430",2004,"Cape Junken",0
"431",2004,"Cape Fairfield",0
"432",2004,"Cape Resurrection",0
"433",2004,"Rugged",0
"434",2004,"Aialik Cape",0
"435",2004,"Chiswell Islands",33
"436",2004,"Granite Cape",0
"437",2004,"Seal Rocks (Kenai)",0
"438",2004,"Steep Point",0
"439",2004,"Rabbit",0
"440",2004,"Nuka Point",0
"441",2004,"Gore Point",0
"442",2004,"East Chugach",0
"443",2004,"Perl",0
"444",2004,"Perl Rocks",0
"445",2004,"Nagahut Rocks",0
"446",2004,"Elizabeth/Cape Elizabeth",0
"447",2004,"Flat",0
"448",2004,"West Amatuli",0
"449",2004,"Ushagat",43
"450",2004,"Ushagat/Rocks South",0
"451",2004,"Sud",0
"452",2004,"Latax Rocks",0
"453",2004,"Sea Otter",0
"454",2004,"Rk Near Sea Otter",0
"455",2004,"Afognak/Tonki Cape",0
"456",2004,"Sea Lion Rocks (Marmot)",0
"457",2004,"Marmot",494
"458",2004,"Long Island",0
"459",2004,"Kodiak/Cape Chiniak",0
"460",2004,"Ugak",0
"461",2004,"Kodiak/Gull Point",0
"462",2004,"Kodiak/Cape Barnabas",0
"463",2004,"Twoheaded",28
"464",2004,"Sitkinak/Cape Sitkinak",0
"465",2004,"Kodiak/Sundstrom",0
"466",2004,"Kodiak/Cape Alitak",0
"467",2004,"Kodiak/Cape Ikolik",0
"468",2004,"Kodiak/Tombstone Rocks",0
"469",2004,"Kodiak/Cape Kuliuk",0
"470",2004,"Kodiak/Cape Ugat",0
"471",2004,"Noisy",0
"472",2004,"Kodiak/Malina Point",0
"473",2004,"Kodiak/Steep Cape",0
"474",2004,"Kodiak/Cape Paramanof",0
"475",2004,"Shaw",0
"476",2004,"Cape Douglas",0
"477",2004,"Shakun Rocks",3
"478",2004,"Cape Nukshak",0
"479",2004,"Cape Ugyak",0
"480",2004,"Cape Gull",0
"481",2004,"Takli",0
"482",2004,"Puale Bay",3
"483",2004,"Kilokak Rocks",0
"484",2004,"Aiugnak Columns",0
"485",2004,"Ugaiushak",0
"486",2004,"Sutwik",2
"487",2004,"Aghiyuk",0
"488",2004,"Chowiet",262
"489",2004,"Lighthouse Rocks",17
"490",2004,"Atkulik",0
"491",2004,"Kak",0
"492",2004,"Chankliut",0
"493",2004,"Seal Cape",0
"494",2004,"Mitrofania",1
"495",2004,"Spitz",0
"496",2004,"Kupreanof Point",0
"497",2004,"Castle Rock",0
"498",2004,"Big Koniuji",0
"499",2004,"Chernabura",153
"500",2004,"Twins",0
"501",2004,"The Haystacks",0
"502",2004,"The Whaleback",27
"503",2004,"Nagai/Mountain Point",0
"504",2004,"Nagai/Rk w of Cape Wedge",0
"505",2004,"Egg (Sand Point)",0
"506",2004,"Sea Lion Rocks (Shumagins)",0
"507",2004,"Unga/Cape Unga",0
"508",2004,"Unga/Acheredin Point",0
"509",2004,"Omega",0
"510",2004,"Wosnesenski",0
"511",2004,"Olga Rocks",0
"512",2004,"Sushilnoi Rocks",16
"513",2004,"Hunt",0
"514",2004,"Sozavarika",0
"515",2004,"Umga",0
"516",2004,"Clubbing Rocks",392
"517",2004,"Cherni",0
"518",2004,"Hague Rock",0
"519",2004,"Caton",0
"520",2004,"South Rocks",34
"521",2004,"Sanak",0
"522",2004,"Bird",0
"523",2004,"Rock",0
"524",2004,"Unimak/Cape Lazaref",0
"525",2004,"Unimak/Cape Lutke",0
"526",2004,"Unimak/Scotch Cap",0
